iter	Logloss
0	0.6856923737
1	0.6787743624
2	0.6716188034
3	0.664656512
4	0.6584093061
5	0.6512411731
6	0.6450618574
7	0.6381605812
8	0.6319020678
9	0.6266250443
10	0.6196624814
11	0.613854006
12	0.608062311
13	0.6030914942
14	0.5979408432
15	0.5931403172
16	0.5878898437
17	0.5830583352
18	0.5787434432
19	0.5736338158
20	0.5688961595
21	0.5643596407
22	0.5598022709
23	0.5556635496
24	0.5509402764
25	0.5467141255
26	0.5418929295
27	0.5380943826
28	0.5343154655
29	0.5307707491
30	0.5271192448
31	0.5238674828
32	0.5204500887
33	0.5165580062
34	0.5135381382
35	0.5095003701
36	0.5063983192
37	0.503256285
38	0.4994165789
39	0.4956610909
40	0.4925803885
41	0.4900452499
42	0.4863280716
43	0.4835342176
44	0.4804761755
45	0.4775927209
46	0.4745162702
47	0.4714603539
48	0.4691366652
49	0.4661985276
50	0.4636428998
51	0.461644912
52	0.4588729945
53	0.4563378106
54	0.4544391477
55	0.4523288539
56	0.4505180729
57	0.4479919802
58	0.4461018206
59	0.4440370281
60	0.4420537401
61	0.440305512
62	0.4361797265
63	0.434432991
64	0.4326642286
65	0.4302811078
66	0.4284390728
67	0.4263591283
68	0.424212922
69	0.4226375628
70	0.4204479357
71	0.4189899935
72	0.4174017438
73	0.4161027849
74	0.4149116541
75	0.4132440711
76	0.411907119
77	0.4107856424
78	0.409663216
79	0.4058438633
80	0.4023657706
81	0.4001901648
82	0.3990914841
83	0.3967696046
84	0.3951938384
85	0.3938335476
86	0.3925965085
87	0.3911613622
88	0.3891349247
89	0.3880723828
90	0.3870643881
91	0.3861304349
92	0.3850931312
93	0.3830012008
94	0.3818127838
95	0.3793911497
96	0.3763926528
97	0.3750659905
98	0.3723531207
99	0.3714909474
